n_subjects,embedding_size,hidden_size,seed,wandb_run_id,artifact_version_id,param,recovery_r2
50,2,16,42,zzgyn4o5,32c8126d-7611-46ef-be49-3533c3206170,biasL,0.5637
50,2,16,42,zzgyn4o5,32c8126d-7611-46ef-be49-3533c3206170,learn_rate,0.1112
50,2,16,42,zzgyn4o5,32c8126d-7611-46ef-be49-3533c3206170,softmax_temp,0.6132
50,4,16,42,jtmxhiua,1cf7f803-d37b-4e61-917a-df3b41d181be,biasL,0.7996
50,4,16,42,jtmxhiua,1cf7f803-d37b-4e61-917a-df3b41d181be,learn_rate,0.9853
50,4,16,42,jtmxhiua,1cf7f803-d37b-4e61-917a-df3b41d181be,softmax_temp,0.9328
100,2,16,42,08aad5nf,18bd8daf-58ad-4622-ab6c-ca4aa2c6b1c0,biasL,0.144
100,2,16,42,08aad5nf,18bd8daf-58ad-4622-ab6c-ca4aa2c6b1c0,learn_rate,0.5077
100,2,16,42,08aad5nf,18bd8daf-58ad-4622-ab6c-ca4aa2c6b1c0,softmax_temp,0.6543
100,4,16,42,r45xqr4g,681fc85e-7b24-401d-968a-d6574ec2c205,biasL,0.9364
100,4,16,42,r45xqr4g,681fc85e-7b24-401d-968a-d6574ec2c205,learn_rate,0.9863
100,4,16,42,r45xqr4g,681fc85e-7b24-401d-968a-d6574ec2c205,softmax_temp,0.9389
200,2,16,42,d3upkqsf,e0488928-939c-4819-8037-deadcd3d622c,biasL,0.1953
200,2,16,42,d3upkqsf,e0488928-939c-4819-8037-deadcd3d622c,learn_rate,0.6927
200,2,16,42,d3upkqsf,e0488928-939c-4819-8037-deadcd3d622c,softmax_temp,0.3565
200,4,16,42,tv94rwy7,feda1a41-5013-4499-832b-c3e56bda3b8e,biasL,0.9501
200,4,16,42,tv94rwy7,feda1a41-5013-4499-832b-c3e56bda3b8e,learn_rate,0.9881
200,4,16,42,tv94rwy7,feda1a41-5013-4499-832b-c3e56bda3b8e,softmax_temp,0.9417
300,2,16,42,iefsolqi,833ecb41-e64c-48f2-a016-1044503c54dd,biasL,0.3472
300,2,16,42,iefsolqi,833ecb41-e64c-48f2-a016-1044503c54dd,learn_rate,0.504
300,2,16,42,iefsolqi,833ecb41-e64c-48f2-a016-1044503c54dd,softmax_temp,0.4791
300,4,16,42,ltiephap,4e99424a-6736-44cd-bfe5-8731dd3a67a9,biasL,0.9098
300,4,16,42,ltiephap,4e99424a-6736-44cd-bfe5-8731dd3a67a9,learn_rate,0.9898
300,4,16,42,ltiephap,4e99424a-6736-44cd-bfe5-8731dd3a67a9,softmax_temp,0.9445
