variant,launch_id,group,run,D,seed,heldout_likelihood
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-d0a4b0e7-r1,10,0,0.7201611399650574
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-6fa5526a-r1,10,1,0.7237962484359741
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-79133136-r1,10,2,0.7216129302978516
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-cf5d7c27-r1,29,0,0.7247790098190308
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-53bf7d5e-r1,30,1,0.7252022624015808
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-0289b964-r1,30,2,0.7249755263328552
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-3fd43cf5-r1,99,0,0.7263792157173157
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-1dcc80ac-r1,101,1,0.726401150226593
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-cab72e91-r1,101,2,0.7259606719017029
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-9fab7046-r1,300,0,0.7268150448799133
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-14a93a95-r1,300,2,0.7264736294746399
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-a846e06f-r1,301,1,0.7266797423362732
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-e8878dd8-r1,614,0,0.7267891764640808
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-20823b9d-r1,614,1,0.7268445491790771
v1-pretrain-phase,20260622-013415,v1-pretrain-phase@20260622-013415,mice-data-scaling-gru-b8daffb6-r1,614,2,0.7266248464584351
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-4bb879a6,10,0,0.7202110886573792
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-f8f4f377,10,1,0.7235190272331238
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-c4f91751,10,2,0.721650242805481
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-e8c3edb2,29,0,0.7244009375572205
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-5e008e40,30,1,0.725176990032196
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-19a88c23,30,2,0.7250411510467529
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-4becb8b9,99,0,0.7272639870643616
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-e7f3851f,101,1,0.7274349331855774
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-35610e21,101,2,0.7271736860275269
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-212ad763,300,0,0.7281753420829773
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-8c0d52a5,300,2,0.7280145287513733
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-c4ff4e08,301,1,0.7278823852539062
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-ecd6f7e6,614,0,0.7282935976982117
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-3603897b,614,1,0.7282243967056274
v2-sc-active,20260622-144622,v2-sc-active@20260622-144622,v2-sc-active-20260622-144622-d6462060,614,2,0.7281683683395386
